voice,title,line_index,line,model,sample_rate,audio_seconds,synth_seconds,dsp_seconds,total_before_playback_seconds,file,genesis,target
retirement_party_mvp,Retirement Party MVP,1,Thank you for calling Space Channel network operations. How may I help you?,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,4.272,0.5558,0.0464,0.6022,results/space-channel-voices/01-thank-you-for-calling-space-channel-networ-retirement_party_mvp.wav,"Chad's favorite direction: a_dsp character, but closer to a clean protocol droid than a crunchy robot.",Default candidate for Space Channel network operations.
mvp_shop_less_crunch,Shop Droid Less Crunch,1,Thank you for calling Space Channel network operations. How may I help you?,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,4.331,0.5643,0.0044,0.5687,results/space-channel-voices/01-thank-you-for-calling-space-channel-networ-mvp_shop_less_crunch.wav,"a_dsp with the digital crunch removed, keeping only the droid-shop metal and hollow body.","Friendly service droid, still obviously synthetic."
euro_protocol_gold,Euro Protocol Gold,1,Thank you for calling Space Channel network operations. How may I help you?,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-alan-medium.onnx,22050,4.76,0.5367,0.0035,0.5401,results/space-channel-voices/01-thank-you-for-calling-space-channel-networ-euro_protocol_gold.wav,"Protocol-droid read: British base voice, light metallic sheen, almost no grit.",Polished concierge answers and scripted greetings.
jabba_shop_attendant,Jabba Shop Attendant,1,Thank you for calling Space Channel network operations. How may I help you?,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-jenny_dioco-medium.onnx,22050,3.936,0.4953,0.0458,0.5411,results/space-channel-voices/01-thank-you-for-calling-space-channel-networ-jabba_shop_attendant.wav,"Palace service droid: hollow and theatrical, with raspy resonance instead of digital crush.",Characterful intake and handoff prompts.
space_ops_switchboard,Space Ops Switchboard,1,Thank you for calling Space Channel network operations. How may I help you?,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,3.855,0.5454,0.0027,0.5481,results/space-channel-voices/01-thank-you-for-calling-space-channel-networ-space_ops_switchboard.wav,"Call-center droid: clear first, metallic second.",The opening line and suggestion flow.
uap_archive_vocoder,UAP Archive Vocoder,1,Thank you for calling Space Channel network operations. How may I help you?,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-alan-medium.onnx,22050,4.714,0.5277,0.064,0.5917,results/space-channel-voices/01-thank-you-for-calling-space-channel-networ-uap_archive_vocoder.wav,"Smooth vocoder-forward archive voice: synthetic carrier, no digital bit-crush.","UFO files, anomaly reports, and classified-flavored reads."
r2_gatekeeper,R2 Gatekeeper,1,Thank you for calling Space Channel network operations. How may I help you?,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-amy-medium.onnx,22050,4.679,0.5167,0.0548,0.5715,results/space-channel-voices/01-thank-you-for-calling-space-channel-networ-r2_gatekeeper.wav,Astromech-adjacent gatekeeper translated into speech: synthetic but smooth and intelligible.,"Short responses, confirmations, and routing prompts."
launch_control_unit,Launch Control Unit,1,Thank you for calling Space Channel network operations. How may I help you?,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-joe-medium.onnx,22050,4.098,0.5008,0.0474,0.5483,results/space-channel-voices/01-thank-you-for-calling-space-channel-networ-launch_control_unit.wav,Crisp operations voice with a controlled machine edge.,"Launch windows, status, timings, numbers, and confirmations."
deep_space_radio,Deep Space Radio,1,Thank you for calling Space Channel network operations. How may I help you?,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-kusal-medium.onnx,22050,3.646,0.5089,0.0404,0.5492,results/space-channel-voices/01-thank-you-for-calling-space-channel-networ-deep_space_radio.wav,Warm lower carrier and wider combing for a distant relay-station feel.,Deep Space Radio and longform ambience.
bug_intake_clerk,Bug Intake Clerk,1,Thank you for calling Space Channel network operations. How may I help you?,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,4.075,0.5899,0.0444,0.6343,results/space-channel-voices/01-thank-you-for-calling-space-channel-networ-bug_intake_clerk.wav,"Sharper, slightly urgent droid clerk for problem reports without making speech harsh.","Bug intake, ticket creation, and customer-report narration."
retirement_party_mvp,Retirement Party MVP,2,"If you are unsure what to ask, may I make some suggestions?",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,3.599,0.5441,0.039,0.5831,results/space-channel-voices/02-if-you-are-unsure-what-to-ask-may-i-make-s-retirement_party_mvp.wav,"Chad's favorite direction: a_dsp character, but closer to a clean protocol droid than a crunchy robot.",Default candidate for Space Channel network operations.
mvp_shop_less_crunch,Shop Droid Less Crunch,2,"If you are unsure what to ask, may I make some suggestions?",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,3.959,0.5524,0.0041,0.5565,results/space-channel-voices/02-if-you-are-unsure-what-to-ask-may-i-make-s-mvp_shop_less_crunch.wav,"a_dsp with the digital crunch removed, keeping only the droid-shop metal and hollow body.","Friendly service droid, still obviously synthetic."
euro_protocol_gold,Euro Protocol Gold,2,"If you are unsure what to ask, may I make some suggestions?",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-alan-medium.onnx,22050,3.715,0.5106,0.0027,0.5134,results/space-channel-voices/02-if-you-are-unsure-what-to-ask-may-i-make-s-euro_protocol_gold.wav,"Protocol-droid read: British base voice, light metallic sheen, almost no grit.",Polished concierge answers and scripted greetings.
jabba_shop_attendant,Jabba Shop Attendant,2,"If you are unsure what to ask, may I make some suggestions?",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-jenny_dioco-medium.onnx,22050,3.657,0.4903,0.0406,0.5309,results/space-channel-voices/02-if-you-are-unsure-what-to-ask-may-i-make-s-jabba_shop_attendant.wav,"Palace service droid: hollow and theatrical, with raspy resonance instead of digital crush.",Characterful intake and handoff prompts.
space_ops_switchboard,Space Ops Switchboard,2,"If you are unsure what to ask, may I make some suggestions?",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,3.796,0.5516,0.0027,0.5543,results/space-channel-voices/02-if-you-are-unsure-what-to-ask-may-i-make-s-space_ops_switchboard.wav,"Call-center droid: clear first, metallic second.",The opening line and suggestion flow.
uap_archive_vocoder,UAP Archive Vocoder,2,"If you are unsure what to ask, may I make some suggestions?",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-alan-medium.onnx,22050,3.553,0.5043,0.0439,0.5482,results/space-channel-voices/02-if-you-are-unsure-what-to-ask-may-i-make-s-uap_archive_vocoder.wav,"Smooth vocoder-forward archive voice: synthetic carrier, no digital bit-crush.","UFO files, anomaly reports, and classified-flavored reads."
r2_gatekeeper,R2 Gatekeeper,2,"If you are unsure what to ask, may I make some suggestions?",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-amy-medium.onnx,22050,3.437,0.4841,0.0377,0.5218,results/space-channel-voices/02-if-you-are-unsure-what-to-ask-may-i-make-s-r2_gatekeeper.wav,Astromech-adjacent gatekeeper translated into speech: synthetic but smooth and intelligible.,"Short responses, confirmations, and routing prompts."
launch_control_unit,Launch Control Unit,2,"If you are unsure what to ask, may I make some suggestions?",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-joe-medium.onnx,22050,3.007,0.4811,0.0346,0.5157,results/space-channel-voices/02-if-you-are-unsure-what-to-ask-may-i-make-s-launch_control_unit.wav,Crisp operations voice with a controlled machine edge.,"Launch windows, status, timings, numbers, and confirmations."
deep_space_radio,Deep Space Radio,2,"If you are unsure what to ask, may I make some suggestions?",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-kusal-medium.onnx,22050,2.81,0.4723,0.0293,0.5016,results/space-channel-voices/02-if-you-are-unsure-what-to-ask-may-i-make-s-deep_space_radio.wav,Warm lower carrier and wider combing for a distant relay-station feel.,Deep Space Radio and longform ambience.
bug_intake_clerk,Bug Intake Clerk,2,"If you are unsure what to ask, may I make some suggestions?",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,3.506,0.5451,0.0418,0.5869,results/space-channel-voices/02-if-you-are-unsure-what-to-ask-may-i-make-s-bug_intake_clerk.wav,"Sharper, slightly urgent droid clerk for problem reports without making speech harsh.","Bug intake, ticket creation, and customer-report narration."
retirement_party_mvp,Retirement Party MVP,3,"Ask me about solar weather, upcoming launches, the UFO files, or the latest news in space.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,6.188,0.6182,0.0722,0.6905,results/space-channel-voices/03-ask-me-about-solar-weather-upcoming-launch-retirement_party_mvp.wav,"Chad's favorite direction: a_dsp character, but closer to a clean protocol droid than a crunchy robot.",Default candidate for Space Channel network operations.
mvp_shop_less_crunch,Shop Droid Less Crunch,3,"Ask me about solar weather, upcoming launches, the UFO files, or the latest news in space.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,6.351,0.597,0.0067,0.6037,results/space-channel-voices/03-ask-me-about-solar-weather-upcoming-launch-mvp_shop_less_crunch.wav,"a_dsp with the digital crunch removed, keeping only the droid-shop metal and hollow body.","Friendly service droid, still obviously synthetic."
euro_protocol_gold,Euro Protocol Gold,3,"Ask me about solar weather, upcoming launches, the UFO files, or the latest news in space.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-alan-medium.onnx,22050,6.734,0.5548,0.005,0.5597,results/space-channel-voices/03-ask-me-about-solar-weather-upcoming-launch-euro_protocol_gold.wav,"Protocol-droid read: British base voice, light metallic sheen, almost no grit.",Polished concierge answers and scripted greetings.
jabba_shop_attendant,Jabba Shop Attendant,3,"Ask me about solar weather, upcoming launches, the UFO files, or the latest news in space.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-jenny_dioco-medium.onnx,22050,6.293,0.5479,0.0789,0.6268,results/space-channel-voices/03-ask-me-about-solar-weather-upcoming-launch-jabba_shop_attendant.wav,"Palace service droid: hollow and theatrical, with raspy resonance instead of digital crush.",Characterful intake and handoff prompts.
space_ops_switchboard,Space Ops Switchboard,3,"Ask me about solar weather, upcoming launches, the UFO files, or the latest news in space.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,6.246,0.6152,0.0045,0.6196,results/space-channel-voices/03-ask-me-about-solar-weather-upcoming-launch-space_ops_switchboard.wav,"Call-center droid: clear first, metallic second.",The opening line and suggestion flow.
uap_archive_vocoder,UAP Archive Vocoder,3,"Ask me about solar weather, upcoming launches, the UFO files, or the latest news in space.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-alan-medium.onnx,22050,6.629,0.5526,0.0914,0.644,results/space-channel-voices/03-ask-me-about-solar-weather-upcoming-launch-uap_archive_vocoder.wav,"Smooth vocoder-forward archive voice: synthetic carrier, no digital bit-crush.","UFO files, anomaly reports, and classified-flavored reads."
r2_gatekeeper,R2 Gatekeeper,3,"Ask me about solar weather, upcoming launches, the UFO files, or the latest news in space.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-amy-medium.onnx,22050,6.258,0.5483,0.0649,0.6132,results/space-channel-voices/03-ask-me-about-solar-weather-upcoming-launch-r2_gatekeeper.wav,Astromech-adjacent gatekeeper translated into speech: synthetic but smooth and intelligible.,"Short responses, confirmations, and routing prompts."
launch_control_unit,Launch Control Unit,3,"Ask me about solar weather, upcoming launches, the UFO files, or the latest news in space.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-joe-medium.onnx,22050,5.677,0.5557,0.0713,0.627,results/space-channel-voices/03-ask-me-about-solar-weather-upcoming-launch-launch_control_unit.wav,Crisp operations voice with a controlled machine edge.,"Launch windows, status, timings, numbers, and confirmations."
deep_space_radio,Deep Space Radio,3,"Ask me about solar weather, upcoming launches, the UFO files, or the latest news in space.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-kusal-medium.onnx,22050,4.772,0.5192,0.061,0.5802,results/space-channel-voices/03-ask-me-about-solar-weather-upcoming-launch-deep_space_radio.wav,Warm lower carrier and wider combing for a distant relay-station feel.,Deep Space Radio and longform ambience.
bug_intake_clerk,Bug Intake Clerk,3,"Ask me about solar weather, upcoming launches, the UFO files, or the latest news in space.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,6.014,0.5926,0.0688,0.6614,results/space-channel-voices/03-ask-me-about-solar-weather-upcoming-launch-bug_intake_clerk.wav,"Sharper, slightly urgent droid clerk for problem reports without making speech harsh.","Bug intake, ticket creation, and customer-report narration."
retirement_party_mvp,Retirement Party MVP,4,"If you are reporting a problem, tell me what the bug is and I will get it fixed and report back immediately.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,5.642,0.5895,0.064,0.6535,results/space-channel-voices/04-if-you-are-reporting-a-problem-tell-me-wha-retirement_party_mvp.wav,"Chad's favorite direction: a_dsp character, but closer to a clean protocol droid than a crunchy robot.",Default candidate for Space Channel network operations.
mvp_shop_less_crunch,Shop Droid Less Crunch,4,"If you are reporting a problem, tell me what the bug is and I will get it fixed and report back immediately.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,5.503,0.5793,0.0055,0.5848,results/space-channel-voices/04-if-you-are-reporting-a-problem-tell-me-wha-mvp_shop_less_crunch.wav,"a_dsp with the digital crunch removed, keeping only the droid-shop metal and hollow body.","Friendly service droid, still obviously synthetic."
euro_protocol_gold,Euro Protocol Gold,4,"If you are reporting a problem, tell me what the bug is and I will get it fixed and report back immediately.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-alan-medium.onnx,22050,6.142,0.5469,0.0046,0.5515,results/space-channel-voices/04-if-you-are-reporting-a-problem-tell-me-wha-euro_protocol_gold.wav,"Protocol-droid read: British base voice, light metallic sheen, almost no grit.",Polished concierge answers and scripted greetings.
jabba_shop_attendant,Jabba Shop Attendant,4,"If you are reporting a problem, tell me what the bug is and I will get it fixed and report back immediately.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-jenny_dioco-medium.onnx,22050,6.409,0.5934,0.0797,0.6731,results/space-channel-voices/04-if-you-are-reporting-a-problem-tell-me-wha-jabba_shop_attendant.wav,"Palace service droid: hollow and theatrical, with raspy resonance instead of digital crush.",Characterful intake and handoff prompts.
space_ops_switchboard,Space Ops Switchboard,4,"If you are reporting a problem, tell me what the bug is and I will get it fixed and report back immediately.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-cori-medium.onnx,22050,5.433,0.6029,0.004,0.6069,results/space-channel-voices/04-if-you-are-reporting-a-problem-tell-me-wha-space_ops_switchboard.wav,"Call-center droid: clear first, metallic second.",The opening line and suggestion flow.
uap_archive_vocoder,UAP Archive Vocoder,4,"If you are reporting a problem, tell me what the bug is and I will get it fixed and report back immediately.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_GB-alan-medium.onnx,22050,6.06,0.564,0.0776,0.6416,results/space-channel-voices/04-if-you-are-reporting-a-problem-tell-me-wha-uap_archive_vocoder.wav,"Smooth vocoder-forward archive voice: synthetic carrier, no digital bit-crush.","UFO files, anomaly reports, and classified-flavored reads."
r2_gatekeeper,R2 Gatekeeper,4,"If you are reporting a problem, tell me what the bug is and I will get it fixed and report back immediately.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-amy-medium.onnx,22050,6.153,0.5699,0.0718,0.6417,results/space-channel-voices/04-if-you-are-reporting-a-problem-tell-me-wha-r2_gatekeeper.wav,Astromech-adjacent gatekeeper translated into speech: synthetic but smooth and intelligible.,"Short responses, confirmations, and routing prompts."
